"K","lik"
30,-7.95665796536425
30,-7.76994399892022
30,-7.92064461045551
30,-7.64915427543294
30,-7.86327155887641
30,-7.28982132212378
30,-7.55589332448561
30,-7.27453959801309
30,-8.32687761221971
30,-7.58687053877582
30,-7.64080746549596
30,-8.10722050024706
30,-7.56709661672849
30,-7.95602643116336
30,-7.86783500213925
30,-7.23048120389857
30,-7.24061038621234
30,-8.5919224578838
30,-7.87010892083864
30,-7.52236390708993
30,-7.48028178640647
30,-7.72204418181756
30,-8.42272921383728
30,-7.30681503635134
30,-6.74367829805828
30,-7.06322562165565
30,-8.03579950383803
30,-7.76800785879902
30,-7.48978816337529
30,-7.2503199184879
30,-6.90273998197287
30,-7.22771429188779
30,-8.2809300463083
30,-6.99731396164486
30,-7.98434720792379
30,-7.87945463561593
30,-7.71806423385568
30,-6.54177392770257
30,-6.94594717944017
30,-7.40759977127202
30,-7.28375557328937
30,-7.70562956459956
30,-7.6888195459842
30,-7.48679547129535
30,-6.87387073892857
30,-6.9112319046405
30,-7.4950970362592
30,-7.62569292368101
30,-7.23433348992488
30,-7.17986640550602
30,-7.6553278081111
30,-7.89143829861513
30,-7.51088210988307
30,-7.16123692107173
30,-8.08291314874028
30,-7.48830403941924
30,-7.41982017642837
30,-7.64789509892442
30,-7.82291001346927
30,-7.56867207778533
30,-6.95994036338518
30,-7.17467677595911
30,-7.65087920946549
30,-8.10882180418954
30,-7.1181548282936
30,-7.13060982008723
30,-7.43555703526644
30,-7.18957811360301
30,-7.69499879768725
30,-7.63472031483624
30,-8.13192033759669
30,-7.45342245767416
30,-7.57871104121336
30,-6.1704900827135
30,-7.63073786074889
30,-7.11454837187308
30,-8.00537342261646
30,-8.11121433360893
30,-8.04727570442054
30,-6.90580283705508
30,-7.64542459753401
30,-7.86815978661145
30,-7.85871944965724
30,-7.91264635219708
30,-7.7301333208096
30,-7.84084261724464
30,-7.71568926687134
30,-7.6011627973561
30,-7.4103164772814
30,-7.35262349102266
30,-7.6420604374305
30,-8.30958032521766
30,-8.57662794933467
30,-7.03244422800549
30,-7.68978710603003
30,-8.27278323604192
30,-7.15974214086769
30,-8.15996753951332
30,-7.61340219707024
30,-8.30041531022681
30,-7.7567874382853
30,-7.12604276782797
30,-7.5725581008726
30,-7.42929251779484
30,-7.96032154646305
30,-7.18731184348662
30,-7.44831995114835
30,-6.87448029924343
30,-8.03136047878233
30,-7.35025341228702
30,-7.70095380593866
30,-6.91945921323956
30,-7.54163585489942
30,-7.91095502867431
30,-6.29831455314745
30,-7.0582314516554
30,-7.28332971534988
30,-7.67185418888011
30,-7.96680651538298
30,-7.00859105143339
30,-7.80144809067855
30,-7.40772934814344
30,-8.14839044362621
30,-7.791184206322
30,-6.87103646679481
30,-7.07618440486026
30,-8.56309949757262
30,-6.53319514464879
30,-7.10025902491019
30,-7.66468358557442
30,-7.76350281145829
30,-7.61862286820534
30,-7.48152035992808
30,-7.55501559606519
30,-7.6879598151762
30,-7.3308292342918
30,-6.75164959824364
30,-7.82606532119737
30,-7.93164536760737
30,-7.42030835594453
30,-7.74365976967751
30,-7.87089069229848
30,-7.44797824205367
30,-7.42720209072183
30,-7.29465095136669
30,-7.31643737891968
30,-7.3802474091138
30,-7.39651052235536
30,-7.69762069814482
30,-7.32634514836781
30,-7.51092100292077
30,-6.88440252995695
30,-7.35138965743639
30,-7.63592318864476
30,-7.064460637784
30,-7.59201884646248
30,-8.59785009110261
30,-7.14619532219587
30,-8.0181586260419
30,-6.97570335002662
30,-7.52578032016343
30,-7.90788857019097
30,-7.00456665168194
30,-7.12458032875634
30,-7.32266633698371
30,-8.05797177618899
30,-7.42235034263364
30,-6.91857361332138
30,-7.87853221367979
30,-6.72333607114451
30,-7.50362755205179
30,-7.3921291800986
30,-6.46386068957552
30,-7.18328159628551
30,-7.99004497616228
30,-7.73130946198567
30,-7.38481624127015
30,-7.42432514204116
30,-7.627965968357
30,-7.33447795506577
30,-7.70441005654339
30,-7.09676225087222
30,-7.19749421778611
30,-6.39624931233157
30,-8.12096553635777
30,-7.39164416082589
30,-7.43807394367039
30,-8.22693876190657
30,-7.95219733951781
30,-7.11509977119862
30,-7.93725040978647
30,-7.13320466662652
30,-7.73111390235403
30,-7.02681755154594
30,-6.87266333002264
30,-6.8068922724428
30,-8.03768514325474
30,-7.90899289197417
30,-6.75666566969364
30,-7.45186602043087
30,-7.33647472365982
30,-7.12140570191464
30,-8.31366180389774
30,-7.87351241311693
30,-8.01326660447669
30,-7.44798010541744
30,-7.10750582608207
30,-7.88229660478417
30,-7.39294287837433
30,-7.53400384609418
30,-7.52238634675475
30,-7.72833722946804
30,-7.59440381100355
30,-7.49640159514943
30,-8.03085932665454
30,-7.36251437490103
30,-8.07286646128212
30,-6.55043223630005
30,-7.40374633329874
30,-8.82452694314782
30,-7.89148312590232
