"K","heldout","time","converge"
20,1,11.7183166666667,21
30,1,10.2376500000001,14
40,1,19.8024,17
50,1,13.4853166666668,13
60,1,27.2395666666666,17
70,1,25.2563333333334,15
80,1,26.1502,14
90,1,29.96095,15
100,1,49.0384666666666,18
110,1,48.5236,17
120,1,47.8439166666668,16
20,2,21.8115833333332,19
30,2,21.9582,13
40,2,34.2242166666668,14
50,2,56.2886833333333,20
60,2,61.8705999999998,19
70,2,79.9035666666665,21
80,2,78.6640499999999,17
90,2,81.8728333333333,15
100,2,112.549666666667,19
110,2,125.4657,19
120,2,122.633216666666,16
20,3,16.2989333333336,13
30,3,27.7186500000001,18
40,3,30.9949499999998,13
50,3,35.2727166666664,12
60,3,48.3061166666666,14
70,3,63.3815500000002,16
80,3,81.9055666666662,18
90,3,82.02985,15
100,3,111.8156,19
110,3,125.46245,19
120,3,123.036166666667,16
