"","model","fold","time","in_sample","out_sample"
"1",3,1,0.0500571833716498,2145.51968317325,2164.10770386205
"2",3,2,0.0500571833716498,2152.04570631253,2137.95169995918
"3",3,3,0.0500571833716498,2146.83275892485,2158.91646571938
"4",3,4,0.0500571833716498,2146.44084043953,2164.95890960418
"5",3,5,0.0500571833716498,2146.54573818335,2167.3544435209
"6",5,1,0.147829558584425,2145.46118698869,2164.27128904254
"7",5,2,0.147829558584425,2151.20312684521,2138.64448793462
"8",5,3,0.147829558584425,2146.40018445362,2159.05463805156
"9",5,4,0.147829558584425,2145.93908577252,2165.21147751372
"10",5,5,0.147829558584425,2146.24479996956,2167.44377283096
"11",10,1,1.00766760951943,1539.15486833488,1573.39329178328
"12",10,2,1.00766760951943,1543.60011898072,1555.94344517772
"13",10,3,1.00766760951943,1539.91451742099,1569.96890355358
"14",10,4,1.00766760951943,1544.94060643892,1575.55431195787
"15",10,5,1.00766760951943,1541.61100144522,1586.41661876561
"16",15,1,1.9257030596998,1424.78516852608,1463.03976454061
"17",15,2,1.9257030596998,1431.09728041103,1450.23011190325
"18",15,3,1.9257030596998,1430.41611621934,1462.26967897034
"19",15,4,1.9257030596998,1431.01267684202,1464.3178115527
"20",15,5,1.9257030596998,1424.10257812071,1471.50490101784
"21",20,1,3.01496354209052,1382.42499066844,1424.62230235376
"22",20,2,3.01496354209052,1378.66713906052,1401.0519570182
"23",20,3,3.01496354209052,1372.98210355367,1410.25494365276
"24",20,4,3.01496354209052,1384.01017907166,1420.37675670046
"25",20,5,3.01496354209052,1376.87067490478,1429.45290283258
"26",25,1,3.89078082727061,1343.89629094746,1389.20930061109
"27",25,2,3.89078082727061,1350.65623485611,1377.75761119995
"28",25,3,3.89078082727061,1352.32172518378,1392.91125044878
"29",25,4,3.89078082727061,1352.70127048592,1390.14217844677
"30",25,5,3.89078082727061,1352.29129318751,1411.3722589328
"31",30,1,5.20574225246906,1317.45149465592,1363.20393525987
"32",30,2,5.20574225246906,1317.00852531347,1347.63371084969
"33",30,3,5.20574225246906,1318.79286361694,1360.04457627858
"34",30,4,5.20574225246906,1322.18181823103,1364.12045596432
"35",30,5,5.20574225246906,1309.84638580665,1368.95045294568
"36",35,1,6.77375692877505,1319.1969925991,1366.66889571808
"37",35,2,6.77375692877505,1320.80650596988,1353.35925037732
"38",35,3,6.77375692877505,1301.03240955866,1342.77502819465
"39",35,4,6.77375692877505,1311.46319513012,1352.4433558394
"40",35,5,6.77375692877505,1299.01511604292,1358.27792068491
"41",38,1,7.1523769895898,1287.75534957141,1337.8952025365
"42",38,2,7.1523769895898,1290.47094500472,1324.43723387765
"43",38,3,7.1523769895898,1289.50915189188,1331.93810003265
"44",38,4,7.1523769895898,1296.01733977654,1337.36770750675
"45",38,5,7.1523769895898,1289.10316928036,1348.27726421958
"46",39,1,6.90012895067533,1294.84370214618,1344.3922596106
"47",39,2,6.90012895067533,1289.11443577083,1324.45260108333
"48",39,3,6.90012895067533,1289.01336929054,1332.03312103652
"49",39,4,6.90012895067533,1290.47864383095,1333.6701187313
"50",39,5,6.90012895067533,1296.87942721532,1358.77181149387
"51",40,1,7.313501,1278.09987701496,1325.02565637704
"52",40,2,7.313501,1284.71299437299,1319.09491200697
"53",40,3,7.313501,1284.36219454304,1328.44354794327
"54",40,4,7.313501,1285.13156677421,1328.14861308562
"55",40,5,7.313501,1278.28744487967,1340.20242787653
"56",41,1,7.02367697987292,1284.80688330406,1333.54219035025
"57",41,2,7.02367697987292,1284.23158317283,1318.79450638295
"58",41,3,7.02367697987292,1287.66110304174,1329.59113646221
"59",41,4,7.02367697987292,1281.60880304703,1324.45811250945
"60",41,5,7.02367697987292,1282.6659747478,1344.45481106619
"61",42,1,8.01729988031917,1294.707538798,1341.93192826669
"62",42,2,8.01729988031917,1295.97344016372,1329.8458736344
"63",42,3,8.01729988031917,1282.98781758164,1327.94998037338
"64",42,4,8.01729988031917,1288.50298836476,1330.61244308104
"65",42,5,8.01729988031917,1281.30589816596,1342.15951918036
"66",45,1,8.963443,1288.54654084338,1337.6640108533
"67",45,2,8.963443,1298.74777921964,1332.62735777965
"68",45,3,8.963443,1290.55501672694,1334.84511888638
"69",45,4,8.963443,1299.08037029411,1341.76042172575
"70",45,5,8.963443,1294.28372869454,1356.84079932691
