"model","in_sample","out_sample"
"5",2145.46118698869,2164.27128904253
"5",2151.20312684519,2138.64448793465
"5",2146.40018445357,2159.05463805152
"5",2145.93908577245,2165.21147751373
"5",2146.24479996956,2167.44377283092
"10",1539.15486833475,1573.39329178318
"10",1543.6001189806,1555.94344517761
"10",1539.91451742095,1569.96890355354
"10",1544.94060643844,1575.55431195733
"10",1541.61100144515,1586.41661876555
"15",1424.78516852621,1463.03976454072
"15",1431.09728041115,1450.23011190334
"15",1430.41611621931,1462.26967897031
"15",1431.01267684203,1464.31781155269
"15",1424.1025781205,1471.50490101769
