"K","heldout","residual","bound","lbound","exclus","semcoh","em.its"
5,-7.31239439693685,10.3000405539118,-70637487.9734559,-70637483.1859641,8.98177461752377,-73.1831308302301,21
10,-7.1921279030313,8.87747957007742,-69607303.963408,-69607288.8589954,9.48908035851467,-84.2253758719469,16
15,-7.12478188102236,8.00939193864383,-69022423.6426547,-69022395.7433833,9.68922933082329,-91.9336237155101,16
20,-7.08687045006364,7.67242005147389,-68703728.4135017,-68703686.0778852,9.76931744767426,-94.7063970083788,17
25,-7.03842784758878,7.15343560610298,-68293298.7598558,-68293240.7562506,9.82223372166067,-93.7048624768857,13
30,-7.01954517579335,6.93524917091988,-68164249.7362826,-68164175.0780462,9.85075521320183,-94.8878597275878,16
35,-7.00321045306523,6.716222031077,-68019426.0115697,-68019333.8753941,9.87915112123098,-101.000411601763,17
40,-6.98280087467123,6.52113307204869,-67885277.5805777,-67885167.2599379,9.90144260742089,-102.084701885142,12
45,-6.96537958673511,6.30739961014251,-67730559.7752089,-67730430.6512752,9.90392282319178,-105.828228219501,9
50,-6.9463488854606,6.18226528287432,-67565606.3060465,-67565457.8282796,9.90819043748137,-108.132863647113,9
