"K","lik"
25,-7.92356908393492
25,-7.66337097752103
25,-7.90684817695496
25,-7.57603595061016
25,-7.84525511440713
25,-7.23036530517876
25,-7.61762223010216
25,-7.11534829476491
25,-8.13934413158988
25,-7.30105797053955
25,-7.52918916292906
25,-8.41723800251567
25,-7.76250082028852
25,-7.86673307757979
25,-7.80544390798836
25,-7.26354128436394
25,-7.29399269782566
25,-8.24334964631164
25,-7.49375432636754
25,-7.47466718718982
25,-7.44729992449604
25,-7.7317863926991
25,-8.54793682282444
25,-7.35521968742892
25,-6.78510075650376
25,-7.02093953215206
25,-7.88318419081316
25,-7.59982915770292
25,-7.36849434633339
25,-7.14187132856622
25,-7.20298962094552
25,-6.91149560243932
25,-8.29774362654137
25,-6.9815424364461
25,-7.84276178886427
25,-7.9657394390456
25,-7.85515776505622
25,-6.49904329742421
25,-7.18768700448289
25,-7.7344873968622
25,-7.3967361910881
25,-7.53027398502166
25,-8.07330159702815
25,-7.36611626749695
25,-7.066374832936
25,-7.11172042702852
25,-7.26961106359556
25,-6.89855070087065
25,-7.01796567677845
25,-7.29997579340274
25,-7.62658398455897
25,-7.90898948701678
25,-7.51522164856557
25,-7.07347415961689
25,-8.04443390394119
25,-7.40958046418249
25,-7.46137540424399
25,-7.70869714214375
25,-7.83485520131798
25,-7.6399785951683
25,-6.98717982691675
25,-7.56874284189055
25,-7.63809184938907
25,-8.17401994587717
25,-7.43903093944871
25,-7.0534030835084
25,-7.33986731954362
25,-7.37764787066539
25,-7.84106660448903
25,-7.68080664600959
25,-8.36834815123884
25,-7.66566813039822
25,-7.42772737619794
25,-5.98006902645361
25,-7.59205562035694
25,-7.1635619057843
25,-7.51107377663319
25,-8.10453102291174
25,-7.87603438330254
25,-6.86876839298781
25,-7.4944792152615
25,-7.85184380576914
25,-7.60396838761608
25,-8.08324042063822
25,-7.53980342552427
25,-7.77593848579534
25,-7.72548111148631
25,-7.61345837679394
25,-7.54590923923098
25,-7.2457211583527
25,-7.68761489239422
25,-7.87173432148883
25,-8.24948268336889
25,-6.96280743345424
25,-7.27365319187225
25,-8.59767330268389
25,-7.2287156612816
25,-8.14583962300487
25,-7.73349057400006
25,-8.53164586932785
25,-7.82351796433038
25,-7.32206983139293
25,-7.52664011270133
25,-7.35944219134274
25,-7.78075658914838
25,-6.78572729853188
25,-7.45489282411771
25,-6.65383298168138
25,-7.58516892266098
25,-7.34005072615824
25,-7.75580871934482
25,-6.8682491092338
25,-7.53645566278038
25,-7.6920750518991
25,-6.56800268073118
