"K","holdout","lik"
60,1,-7.74241052608796
60,1,-7.75727277461692
60,1,-9.1451337381717
60,1,-7.49341356865177
60,1,-7.78115923680172
60,1,-7.68523807434036
60,1,-7.55088576661917
60,1,-7.47235206883059
60,1,-7.66834828893777
60,1,-7.71507777163014
60,1,-7.48582658471499
60,1,-7.65024467825947
60,1,-7.84584396293668
60,1,-7.60971281466314
60,1,-8.25287125983305
60,1,-7.11607746247275
60,1,-7.47535413011302
60,1,-7.33919673051396
60,1,-7.63506862820258
60,1,-7.95738341830746
60,1,-7.42098594910786
60,1,-7.44758987798446
60,1,-7.47072064863478
60,1,-7.61584632313713
60,1,-7.1624464540108
60,1,-7.88670787390291
60,1,-7.32421321840924
60,1,-7.56117869036093
60,1,-7.44146185965219
60,1,-7.76529250146968
60,1,-8.28101105556606
60,1,-7.50546349332533
60,1,-7.70997421392612
60,1,-8.37256725631297
60,1,-7.64122686048518
60,1,-7.43213921649837
60,1,-7.41937562379462
60,1,-6.57293036633969
60,1,-7.69014520711389
60,1,-8.388134502995
60,1,-7.53975260323203
60,1,-6.69295445013005
60,1,-6.92253930628919
60,1,-7.74103989878595
60,1,-7.7979124314881
60,1,-7.75728868404907
60,1,-7.1027408599043
60,1,-7.32232593853802
60,1,-7.15541797629295
60,1,-7.01702278870066
60,1,-7.2853555835401
60,1,-7.90938512840151
60,1,-6.37097811822943
60,1,-7.09127081024143
60,1,-8.44348757371016
60,1,-6.79688181450171
60,1,-7.56216145345568
60,1,-6.89030019846301
60,1,-7.79498871040086
60,1,-7.84411055567907
60,1,-7.64180429527784
60,1,-6.85671834619915
60,1,-7.1070235012468
60,1,-7.57819609253745
60,1,-6.75214860887925
60,1,-7.96302910016789
60,1,-7.56934229388346
60,1,-7.35926245088013
60,1,-7.82038239683465
60,1,-7.35153157001753
60,1,-7.79690551501741
60,1,-7.31179962599392
60,1,-6.76086605864778
60,1,-6.46415555298499
60,1,-6.9409694750366
60,1,-8.00782709979678
60,1,-7.82816718732272
60,1,-7.85534552899494
60,1,-8.09269407005934
60,1,-7.26373002081187
60,1,-7.55974879497029
60,1,-7.09225370911591
60,1,-7.8278177901668
60,1,-7.68426820084312
60,1,-8.10343026421011
60,1,-7.15107157616244
60,1,-7.46645169070943
60,1,-7.23391116729082
60,1,-8.06705976062378
60,1,-8.25075190857045
60,1,-8.06628135842901
60,1,-7.18984106035699
60,1,-7.0426804664577
60,1,-7.2085275161538
60,1,-7.69617411619522
60,1,-7.43739742681882
60,1,-8.14969256980509
60,1,-8.42118460167563
60,1,-7.39838589984423
60,1,-6.77869713566676
60,1,-7.35407026207199
60,1,-7.49325657966604
60,1,-8.09293612059809
60,1,-7.55077745497962
60,1,-8.03811534565031
60,1,-7.26297690023034
60,1,-7.01447331540503
60,1,-7.48079893158463
60,1,-7.29902183917963
60,1,-7.94949640584763
60,1,-8.54616102697253
60,1,-7.46247450507926
60,1,-7.8448393517442
60,1,-7.83649449713294
60,1,-7.2500729618416
60,1,-8.13111791189895
60,1,-7.40238296687353
60,1,-6.79232253698758
60,1,-7.44336342238239
60,1,-7.17442635959332
60,1,-7.50857346517279
60,1,-7.56955607667437
60,1,-7.91766036338275
60,1,-7.33215709620822
60,1,-8.37112197732804
60,1,-8.16069883173374
60,1,-7.61568946853813
60,1,-6.21028682977174
60,1,-7.2121860150363
60,1,-7.07006539224433
60,1,-7.17542476124597
60,1,-7.52253788128434
60,1,-7.24559326955138
60,1,-7.01033764397914
60,1,-7.33188729728481
60,1,-7.17776506285016
60,1,-7.91893758649609
60,1,-7.1970114510448
60,1,-7.96771491147742
60,1,-8.08821705568108
60,1,-7.62994168193151
60,1,-7.01564376116959
60,1,-7.92776333589519
60,1,-7.92577527369327
60,1,-7.51391598538846
60,1,-7.76046272134985
60,1,-7.89978518540118
60,1,-7.58547248565604
60,1,-7.82227938712988
60,1,-7.74955327044832
60,1,-8.0286915270864
60,1,-8.22280567520842
60,1,-7.245492327951
60,1,-7.85355346957421
60,1,-7.62966356610445
60,1,-7.230960213328
60,1,-7.17523482172525
60,1,-7.09881597043116
60,1,-7.56998024681932
60,1,-7.07016098625409
60,1,-7.33453069327566
60,1,-7.58004625554793
60,1,-7.73371240525946
60,1,-7.89247408990454
60,1,-8.27285343611586
60,1,-7.87308323444532
60,1,-6.94349077824635
60,1,-7.67389202404102
60,1,-7.79331710082163
60,1,-7.83650119891632
60,1,-7.33799932089142
60,1,-7.77907025133451
60,1,-7.96921695980436
60,1,-7.71574092288046
60,1,-8.44431993094273
60,1,-8.38137403845771
60,1,-7.7007851623856
60,1,-7.20816750182626
60,1,-7.51868268164434
60,1,-7.45518932060115
60,1,-7.78910510793234
60,1,-7.05174558737503
60,1,-7.47168394406006
60,1,-6.55889155416634
60,1,-7.69306268487721
60,1,-7.41013676714478
60,1,-8.06191219404623
60,1,-6.90167911676089
60,1,-7.76465646558357
60,1,-7.90170874921885
60,1,-7.51744982336846
60,1,-7.66580690478352
60,1,-6.45230855467848
60,1,-7.91089118448423
60,1,-8.204406102897
60,1,-7.16528336010921
60,1,-7.88274166784105
60,1,-7.40768133795943
60,1,-7.75579210755375
60,1,-6.98369370707967
60,1,-7.96112534286228
60,1,-7.07797194348733
60,1,-7.74730628511141
60,1,-7.3292593494176
60,1,-7.94113289050877
60,1,-8.11221705209335
60,1,-7.97657768333914
60,1,-6.89284764678509
60,1,-6.84457857774727
60,1,-8.7498428070923
60,1,-7.43239290730652
60,1,-7.02254127483325
60,1,-7.23604529502358
60,1,-6.90765646725472
60,1,-6.91190782592058
60,1,-7.72664639398794
60,1,-8.45777847453962
60,1,-7.20357386146968
60,1,-7.08934425242367
60,1,-7.6174494745381
60,1,-7.42781898225636
60,1,-7.72642351979744
60,1,-7.43492431436409
60,1,-7.51985712530514
60,1,-7.54478860038865
60,1,-7.86155806881162
60,1,-7.89771992967343
60,1,-7.47107222444365
60,1,-7.79343625198131
60,1,-7.63844477405942
60,1,-8.02727685655564
60,1,-6.80793671484889
60,1,-7.61471871251348
60,1,-7.18950105255609
60,1,-7.6233486829384
60,1,-7.65904706113295
60,1,-6.9593663338949
60,1,-7.84748099605003
60,1,-8.12615291118853
60,1,-8.04648178760612
60,1,-8.19764236134526
60,1,-7.86567406140817
60,1,-8.05941790822466
60,1,-7.58143830989611
60,1,-7.34069518294447
60,1,-7.07170769408851
60,1,-7.31872439734046
60,1,-8.00014031195897
60,1,-7.55127290218862
60,1,-7.2164423227931
60,1,-7.60993479639681
60,1,-8.13116086009184
60,1,-7.48267399112046
60,1,-7.19146154904554
60,1,-7.29155920108504
60,1,-7.78580442880883
60,1,-7.22497423837178
60,1,-7.52689999893051
60,1,-7.57312209775726
60,1,-7.67430127102928
60,1,-7.32487688425489
60,1,-7.1538147895424
60,1,-7.50252173037946
60,1,-7.5300666635014
60,1,-7.99676382300136
60,1,-7.06261155611783
60,1,-7.13460635019254
60,1,-7.29895928149573
60,1,-8.44703391433892
60,1,-7.73834924709071
60,1,-7.14339226753328
60,1,-7.68051800421371
60,1,-8.24672703960668
60,1,-7.06715037375934
60,1,-7.30009348484161
60,1,-7.15527359320974
60,1,-7.13980052519715
60,1,-7.43633290953293
60,1,-8.21428492623238
60,1,-7.75381728835763
60,1,-7.07294069166632
60,1,-7.74778745222238
60,1,-7.81647913422704
60,1,-7.94614379508584
60,1,-8.43572695218607
60,1,-7.50383870485321
60,1,-7.46006673675697
60,1,-7.66100131317431
60,1,-6.94303570806034
60,1,-7.43030721298108
60,1,-7.01428852291005
60,1,-7.27112507983214
60,1,-7.9884180283407
60,1,-7.26709488913758
60,1,-7.60447257764439
60,1,-7.14718425629
60,1,-7.29256334205542
60,1,-7.66070820625578
60,1,-7.74015206216532
60,1,-7.12737452408645
60,1,-7.10460463754293
60,1,-7.73264001056759
60,1,-7.22815908768291
60,1,-7.34390512102663
60,1,-7.50310263802507
60,1,-7.12349782054982
60,1,-6.44756048164982
60,1,-8.24089217937451
60,1,-6.71557809946127
60,1,-7.11941560967716
60,1,-7.79256645765046
60,1,-8.12834351101296
60,1,-7.11089476942455
60,1,-7.34826827852953
60,1,-7.54157121667732
60,1,-8.86158859352327
60,1,-7.25166771013378
60,1,-7.37795148535594
60,1,-7.63176412186565
60,1,-7.5032928364715
60,1,-7.38064645130505
60,1,-7.77708520510247
60,1,-7.55660034065546
60,1,-7.34423107186478
60,1,-7.26629627758152
60,1,-7.62224838641982
60,1,-7.33137302274267
60,1,-8.70438641766441
60,1,-6.89686611425862
60,1,-6.95950360161498
60,1,-7.52691780374969
60,1,-7.35183805268543
60,1,-8.22247272156052
60,1,-7.54188732964927
60,1,-7.53576462674387
60,1,-7.35403961960889
60,1,-8.16933636702408
60,1,-7.55657455367586
60,1,-7.905545125436
60,1,-7.16825076230089
60,1,-7.41633070506892
60,1,-7.15319846345953
60,1,-7.71705419465089
60,1,-7.18595729425506
60,1,-7.26360934570208
60,1,-7.53810990251862
60,1,-7.12183795676034
60,1,-7.89629151883778
60,1,-6.86706532944261
60,1,-7.85023090638802
