"K","heldout","time","converge"
60,1,181.261,11
70,1,191.55205,11
80,1,201.1019,10
90,1,281.527166666667,11
100,1,294.681833333333,11
110,1,347.032566666667,11
120,1,371.835566666667,11
60,2,157.87535,12
70,2,182.312183333333,11
80,2,206.117,13
90,2,249.01865,12
100,2,284.7315,11
110,2,297.100733333333,12
120,2,503.827066666667,11
60,3,156.068233333333,10
70,3,182.886116666667,10
80,3,164.949666666666,9
90,3,267.2171,11
100,3,289.711983333334,11
110,3,390.415383333334,12
120,3,427.548683333334,12
